region,subregion,name,party,votes,winner
NÓGRÁD,Salgótarján,KRIZS NORBERT,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,241.0,False
PEST,Budakeszi,MENCZER TAMÁS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,34810.0,True
PEST,Budakeszi,DR. SZÉL BERNADETT,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,33432.0,False
PEST,Budakeszi,GYÖRGY JÓZSEF,MI HAZÁNK MOZGALOM,2700.0,False
PEST,Budakeszi,JAKAB EDINA,MAGYAR KÉTFARKÚ KUTYA PÁRT,2399.0,False
PEST,Budakeszi,DR. BOGÓ DÁNIEL LÁSZLÓ,MEGOLDÁS MOZGALOM,779.0,False
PEST,Budakeszi,KEREKES ERZSÉBET,NORMÁLIS ÉLET PÁRTJA,302.0,False
PEST,Cegléd,FÖLDI LÁSZLÓ,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,28244.0,True
PEST,Cegléd,ZÁGRÁB NÁNDOR,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,13696.0,False
PEST,Cegléd,BARTHA BARNA,MI HAZÁNK MOZGALOM,3693.0,False
PEST,Cegléd,KIS VIKTOR,MAGYAR KÉTFARKÚ KUTYA PÁRT,1239.0,False
PEST,Cegléd,PÁSZTOR ÉVA ILONA,MEGOLDÁS MOZGALOM,506.0,False
PEST,Cegléd,ANDRISKA ISTVÁN,NORMÁLIS ÉLET PÁRTJA,406.0,False
PEST,Dabas,PÁNCZÉL KÁROLY,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,35513.0,True
PEST,Dabas,JÁNOSI-LESI ÁGOTA,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,19824.0,False
PEST,Dabas,BOBROVÁCZ ANTAL,MI HAZÁNK MOZGALOM,3769.0,False
PEST,Dabas,FERANCZ NORBERT,MAGYAR KÉTFARKÚ KUTYA PÁRT,1807.0,False
PEST,Dabas,SZABÓ LÁSZLÓ,MEGOLDÁS MOZGALOM,885.0,False
PEST,Dabas,MIHÁLY DÁNIEL,NORMÁLIS ÉLET PÁRTJA,550.0,False
PEST,Dabas,FEKETE LÁSZLÓ,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,169.0,False
PEST,Dunakeszi,TUZSON BENCE,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,34390.0,True
PEST,Dunakeszi,DOROSZ DÁVID,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,31228.0,False
PEST,Dunakeszi,KOVÁCS MÁTYÁS,MI HAZÁNK MOZGALOM,3499.0,False
PEST,Dunakeszi,BÜRGER ZOLTÁN,MAGYAR KÉTFARKÚ KUTYA PÁRT,2801.0,False
PEST,Dunakeszi,KOVÁCS ROXÁNA,MEGOLDÁS MOZGALOM,1274.0,False
PEST,Dunakeszi,LŐRINCZ LÁSZLÓ,VALÓDI DEMOKRATA PÁRT,624.0,False
PEST,Dunakeszi,SZUCHÁNYI GÁBOR,NORMÁLIS ÉLET PÁRTJA,462.0,False
PEST,Gödöllő,VÉCSEY LÁSZLÓ,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,33188.0,True
PEST,Gödöllő,HOHN KRISZTINA,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,25826.0,False
PEST,Gödöllő,HALÁSZ GÉZA,MI HAZÁNK MOZGALOM,3911.0,False
PEST,Gödöllő,BŐSZE GÁBOR,MAGYAR KÉTFARKÚ KUTYA PÁRT,2290.0,False
PEST,Gödöllő,KOPKA SÁNDOR ZOLTÁN,MEGOLDÁS MOZGALOM,1178.0,False
PEST,Gödöllő,ANTAL TAMÁS,Független jelölt,880.0,False
PEST,Gödöllő,SZIBILLA LÁSZLÓ,NORMÁLIS ÉLET PÁRTJA,385.0,False
PEST,Monor,POGÁCSÁS TIBOR,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,30973.0,True
PEST,Monor,SZABÓ REBEKA,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,14797.0,False
PEST,Monor,LÁSZLÓ ATTILA,MI HAZÁNK MOZGALOM,3901.0,False
PEST,Monor,KŐHEGYI RÓBERT,MAGYAR KÉTFARKÚ KUTYA PÁRT,1528.0,False
PEST,Monor,ZRUBKA ZITA,MEGOLDÁS MOZGALOM,677.0,False
PEST,Nagykáta,CZERVÁN GYÖRGY,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,29632.0,True
PEST,Nagykáta,DR. SCHMUCK ERZSÉBET,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,14096.0,False
PEST,Nagykáta,DR. LÁSZLÓ PÉTER,MI HAZÁNK MOZGALOM,3259.0,False
PEST,Nagykáta,KISS KORNÉL,MAGYAR KÉTFARKÚ KUTYA PÁRT,1236.0,False
PEST,Nagykáta,VÁRI ZOLTÁN ZSOLT,MEGOLDÁS MOZGALOM,589.0,False
PEST,Nagykáta,BEZZEG BOGLÁRKA,NORMÁLIS ÉLET PÁRTJA,397.0,False
PEST,Szentendre,DR. VITÁLYOS ESZTER,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,36877.0,True
PEST,Szentendre,BUZINKAY GYÖRGY,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,26540.0,False
PEST,Szentendre,PÁL BÉLA,MI HAZÁNK MOZGALOM,3051.0,False
PEST,Szentendre,KÖVESDI MIKLÓS,MAGYAR KÉTFARKÚ KUTYA PÁRT,3035.0,False
PEST,Szentendre,POLOCSÁNYI BÉLA,MEGOLDÁS MOZGALOM,819.0,False
PEST,Szentendre,TIHANYI CSABA,NORMÁLIS ÉLET PÁRTJA,391.0,False
PEST,Szentendre,PÁLMAI FERENC,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,284.0,False
PEST,Szigetszentmiklós,BÓNA ZOLTÁN,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,29584.0,True
PEST,Szigetszentmiklós,JÓSZAI TEODÓRA,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,27701.0,False
PEST,Szigetszentmiklós,BOTLÓ KORNÉL LEVENTE,MI HAZÁNK MOZGALOM,3657.0,False
PEST,Szigetszentmiklós,ZSELI BERNADETT,MAGYAR KÉTFARKÚ KUTYA PÁRT,2070.0,False
PEST,Szigetszentmiklós,KÁMÁNY JÁNOS KRISZTIÁN,MEGOLDÁS MOZGALOM,806.0,False
PEST,Szigetszentmiklós,DOROGI GYULA,Független jelölt,751.0,False
PEST,Szigetszentmiklós,PROHÁSZKA GYÖRGY JÁNOS,NORMÁLIS ÉLET PÁRTJA,373.0,False
PEST,Vecsés,DR. SZŰCS LAJOS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,31623.0,True
PEST,Vecsés,FRICSOVSZKY-TÓTH PÉTER,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,23449.0,False
PEST,Vecsés,SZABÓNÉ PAPP KLÁRA,MI HAZÁNK MOZGALOM,4219.0,False
PEST,Vecsés,IVÁN PETRA,MAGYAR KÉTFARKÚ KUTYA PÁRT,2915.0,False
PEST,Vecsés,BALOGH ISTVÁN,MEGOLDÁS MOZGALOM,1484.0,False
PEST,Vecsés,BOCZ DÁNIEL,NORMÁLIS ÉLET PÁRTJA,558.0,False
PEST,Vác,RÉTVÁRI BENCE,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,30747.0,True
PEST,Vác,INOTAY GERGELY,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,18759.0,False
PEST,Vác,DR. PÁLI JENŐ,MI HAZÁNK MOZGALOM,3242.0,False
PEST,Vác,KORGA GERGELY,MAGYAR KÉTFARKÚ KUTYA PÁRT,1783.0,False
PEST,Vác,MANTZOURAKIS SARANTIS,MEGOLDÁS MOZGALOM,426.0,False
PEST,Vác,PINTÉR LÁSZLÓ,NORMÁLIS ÉLET PÁRTJA,384.0,False
PEST,Vác,SIMON JÓZSEF FERENC,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,102.0,False
PEST,Érd,DR. ARADSZKI ANDRÁS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,29597.0,True
PEST,Érd,DR. BŐSZ ANETT,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,28076.0,False
PEST,Érd,CSOTT KÁROLY,MI HAZÁNK MOZGALOM,3220.0,False
PEST,Érd,IGNÁTH KITTI,MAGYAR KÉTFARKÚ KUTYA PÁRT,2067.0,False
PEST,Érd,DR. ASZTALOS ÉVA,Független jelölt,1527.0,False
PEST,Érd,VÁRADI VALENTIN,MEGOLDÁS MOZGALOM,729.0,False
SOMOGY,Barcs,SZÁSZFALVI LÁSZLÓ,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,21571.0,True
SOMOGY,Barcs,ANDER BALÁZS,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,13855.0,False
SOMOGY,Barcs,HALÁSZNÉ HUNYADI GYÖNGYI,MI HAZÁNK MOZGALOM,1525.0,False
SOMOGY,Barcs,PALKÓ SÁNDOR,MEGOLDÁS MOZGALOM,332.0,False
SOMOGY,Kaposvár,GELENCSÉR ATTILA,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,20062.0,True
SOMOGY,Kaposvár,DR. VARGA ISTVÁN,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,14670.0,False
SOMOGY,Kaposvár,KELEMEN CSABA,MI HAZÁNK MOZGALOM,2490.0,False
SOMOGY,Kaposvár,VARGA ISTVÁN,Független jelölt,1849.0,False
SOMOGY,Kaposvár,TELEKI-MOLNÁR ZSÓFIA,MAGYAR KÉTFARKÚ KUTYA PÁRT,983.0,False
SOMOGY,Kaposvár,DR. NADRAI NORBERT JÓZSEF,Független jelölt,830.0,False
SOMOGY,Kaposvár,HAUSER GERGŐ,MEGOLDÁS MOZGALOM,755.0,False
SOMOGY,Kaposvár,HORVÁTH ÁKOS,Független jelölt,369.0,False
SOMOGY,Kaposvár,VARGA TAMÁS,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,110.0,False
SOMOGY,Marcali,MÓRING JÓZSEF ATTILA,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,24171.0,True
SOMOGY,Marcali,DR. STEINMETZ ÁDÁM,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,14776.0,False
SOMOGY,Marcali,JOZÓ TAMÁS,MI HAZÁNK MOZGALOM,2408.0,False
SOMOGY,Marcali,KAZAI CSABA,MEGOLDÁS MOZGALOM,374.0,False
SOMOGY,Siófok,WITZMANN MIHÁLY,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,26834.0,True
SOMOGY,Siófok,POTOCSKÁNÉ KŐRÖSI ANITA,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,16010.0,False
SOMOGY,Siófok,BURDA PATRIK,MEGOLDÁS MOZGALOM,835.0,False
SOMOGY,Siófok,SÜMEGI RITA,NORMÁLIS ÉLET PÁRTJA,751.0,False
SOMOGY,Siófok,KNOCH LÁSZLÓ,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,341.0,False
SZABOLCS-SZATMÁR-BEREG,Kisvárda,DR. SESZTÁK MIKLÓS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,31946.0,True
SZABOLCS-SZATMÁR-BEREG,Kisvárda,TÓTH VIKTOR,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,12781.0,False
SZABOLCS-SZATMÁR-BEREG,Kisvárda,PERDIÁK JÁNOS,MI HAZÁNK MOZGALOM,2869.0,False
SZABOLCS-SZATMÁR-BEREG,Kisvárda,DZSUBÁK BALÁZS,MEGOLDÁS MOZGALOM,770.0,False
SZABOLCS-SZATMÁR-BEREG,Kisvárda,GYÖRKÖSNÉ ORBÁN MÁRIA,NORMÁLIS ÉLET PÁRTJA,351.0,False
SZABOLCS-SZATMÁR-BEREG,Kisvárda,TÓTH PÉTER PÁL,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,197.0,False
SZABOLCS-SZATMÁR-BEREG,Mátészalka,KOVÁCS SÁNDOR,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,29647.0,True
SZABOLCS-SZATMÁR-BEREG,Mátészalka,FÖLDI ISTVÁN,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,11250.0,False
SZABOLCS-SZATMÁR-BEREG,Mátészalka,DR. APÁTI ISTVÁN,MI HAZÁNK MOZGALOM,4185.0,False
SZABOLCS-SZATMÁR-BEREG,Mátészalka,ROLAND ALEX,MEGOLDÁS MOZGALOM,347.0,False
SZABOLCS-SZATMÁR-BEREG,Mátészalka,NAGY CSABA ATTILA,NORMÁLIS ÉLET PÁRTJA,332.0,False
SZABOLCS-SZATMÁR-BEREG,Nyírbátor,DR. SIMON MIKLÓS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,29875.0,True
SZABOLCS-SZATMÁR-BEREG,Nyírbátor,TÓTH VIKTOR,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,12027.0,False
SZABOLCS-SZATMÁR-BEREG,Nyírbátor,SZATHMÁRI LAJOS,MI HAZÁNK MOZGALOM,2252.0,False
SZABOLCS-SZATMÁR-BEREG,Nyírbátor,POLYÁK CSABA,MAGYAR KÉTFARKÚ KUTYA PÁRT,558.0,False
SZABOLCS-SZATMÁR-BEREG,Nyírbátor,CZAKÓ ZOLTÁN,MEGOLDÁS MOZGALOM,386.0,False
SZABOLCS-SZATMÁR-BEREG,Nyírbátor,KOROKNAI ZSOLT,NORMÁLIS ÉLET PÁRTJA,381.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 1,DR. SZABÓ TÜNDE,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,23254.0,True
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 1,LENGYEL MÁTÉ,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,21806.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 1,DR. HORVÁTH ATTILA,MI HAZÁNK MOZGALOM,2718.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 1,NAGY LÁSZLÓ,Független jelölt,1124.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 1,BALÁZS ZSOLT,MAGYAR KÉTFARKÚ KUTYA PÁRT,1075.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 1,DR. HELMECZY LÁSZLÓ,MEGOLDÁS MOZGALOM,1023.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 1,DR. GŐDÉNY GYÖRGY,NORMÁLIS ÉLET PÁRTJA,772.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 2,DR. VINNAI GYŐZŐ,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,26277.0,True
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 2,ARANYOS GÁBOR,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,14759.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 2,KOVÁCS KOPPÁNY ZOLTÁN,MI HAZÁNK MOZGALOM,2823.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 2,KANALAS MELINDA,Független jelölt,476.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 2,KARDOS FERENC,MEGOLDÁS MOZGALOM,448.0,False
SZABOLCS-SZATMÁR-BEREG,Nyíregyháza 2,GURCSÁK LÁSZLÓ,NORMÁLIS ÉLET PÁRTJA,417.0,False
SZABOLCS-SZATMÁR-BEREG,Vásárosnamény,DR. TILKI ATTILA,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,31523.0,True
SZABOLCS-SZATMÁR-BEREG,Vásárosnamény,DR. SÁPI MÓNIKA,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,11404.0,False
SZABOLCS-SZATMÁR-BEREG,Vásárosnamény,BERTICS MIHÁLY,MI HAZÁNK MOZGALOM,2159.0,False
SZABOLCS-SZATMÁR-BEREG,Vásárosnamény,SZABÓ MÁRIA,NORMÁLIS ÉLET PÁRTJA,319.0,False
SZABOLCS-SZATMÁR-BEREG,Vásárosnamény,KANTULY ZSOLT,MEGOLDÁS MOZGALOM,302.0,False
SZABOLCS-SZATMÁR-BEREG,Vásárosnamény,KIRÁLY SZILÁRD,A MI PÁRTUNK - IMA,172.0,False
TOLNA,Dombóvár,POTÁPI ÁRPÁD JÁNOS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,24362.0,True
TOLNA,Dombóvár,SZABÓ LORÁND,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,10536.0,False
TOLNA,Dombóvár,TOBAK GÁBOR,MI HAZÁNK MOZGALOM,2942.0,False
TOLNA,Dombóvár,BEA GÁBOR,NORMÁLIS ÉLET PÁRTJA,601.0,False
TOLNA,Dombóvár,KŐMÜVES ATTILA,MEGOLDÁS MOZGALOM,576.0,False
TOLNA,Paks,SÜLI JÁNOS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,25102.0,True
TOLNA,Paks,BENCZE JÁNOS,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,11107.0,False
TOLNA,Paks,ÁRVAI TIBOR,MI HAZÁNK MOZGALOM,2696.0,False
TOLNA,Paks,HALÁSZ GERGELY,NORMÁLIS ÉLET PÁRTJA,518.0,False
TOLNA,Paks,LACZKÓ PÉTER,MEGOLDÁS MOZGALOM,433.0,False
TOLNA,Szekszárd,HORVÁTH ISTVÁN,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,22642.0,True
TOLNA,Szekszárd,DR. HARANGOZÓ TAMÁS,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,14279.0,False
TOLNA,Szekszárd,PAPP TAMÁS,MI HAZÁNK MOZGALOM,2361.0,False
TOLNA,Szekszárd,FARKAS LÁSZLÓ,MAGYAR KÉTFARKÚ KUTYA PÁRT,1042.0,False
TOLNA,Szekszárd,HAJDU FERENC,MEGOLDÁS MOZGALOM,383.0,False
TOLNA,Szekszárd,KERCSÓ MÁRTON,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,85.0,False
VAS,Körmend,V.NÉMETH ZSOLT,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,31938.0,True
VAS,Körmend,BANA TIBOR,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,12874.0,False
VAS,Körmend,NÉMETI CSABA,MI HAZÁNK MOZGALOM,2676.0,False
VAS,Körmend,DÁVID DÁVID,MEGOLDÁS MOZGALOM,613.0,False
VAS,Szombathely,DR. HENDE CSABA,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,25792.0,True
VAS,Szombathely,DR. CZEGLÉDY CSABA,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,20771.0,False
VAS,Szombathely,DR. VADON ISTVÁN,MI HAZÁNK MOZGALOM,2421.0,False
VAS,Szombathely,NAGY DÁVID,MAGYAR KÉTFARKÚ KUTYA PÁRT,1585.0,False
VAS,Szombathely,TÖMBÖLY TAMÁS,MEGOLDÁS MOZGALOM,530.0,False
VAS,Szombathely,HORVÁTH ÉVA,NORMÁLIS ÉLET PÁRTJA,467.0,False
VAS,Szombathely,HEGEDÜS MÁTÉ,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,71.0,False
VAS,Sárvár,ÁGH PÉTER,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,32226.0,True
